epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,528.262,0.30781,0.37109,1.00383,0.96328,0.9764,0.98373,0.94831,0.29749,0.37569,0.80865,0.000540037,0.000540037,0.000540037
43,539.67,0.30079,0.37185,0.99985,0.98545,0.97795,0.98646,0.95041,0.30405,0.33473,0.82476,0.000531038,0.000531038,0.000531038
44,550.265,0.29842,0.39115,1.00194,0.98525,0.99059,0.98743,0.96305,0.26942,0.3163,0.76367,0.000522039,0.000522039,0.000522039
45,560.708,0.29736,0.35941,0.9881,0.98674,0.99025,0.98667,0.95735,0.29294,0.31018,0.80075,0.00051304,0.00051304,0.00051304
46,571.094,0.29315,0.36837,0.99335,0.97865,0.98671,0.98607,0.96125,0.26012,0.2983,0.76158,0.00050404,0.00050404,0.00050404
47,581.494,0.30663,0.37492,1.00123,0.97404,0.9678,0.98159,0.95553,0.27454,0.33567,0.78108,0.000495041,0.000495041,0.000495041
48,591.832,0.28438,0.3598,0.98001,0.9806,0.98457,0.98611,0.95932,0.29724,0.31845,0.79768,0.000486042,0.000486042,0.000486042
49,602.146,0.30512,0.35299,0.99345,0.98757,0.99253,0.98673,0.97007,0.27696,0.31046,0.78805,0.000477043,0.000477043,0.000477043
50,612.592,0.30394,0.3537,0.99249,0.99228,0.99336,0.98619,0.96911,0.26989,0.28358,0.76333,0.000468044,0.000468044,0.000468044
51,622.992,0.30085,0.34657,0.99369,0.9689,0.98448,0.98574,0.95743,0.28868,0.44651,0.77608,0.000459045,0.000459045,0.000459045
52,633.532,0.29747,0.34214,0.98633,0.98344,0.98709,0.98419,0.96131,0.25874,0.29654,0.76422,0.000450046,0.000450046,0.000450046
53,643.994,0.28578,0.35074,0.98379,0.99154,0.98534,0.9881,0.96994,0.26265,0.36581,0.74937,0.000441047,0.000441047,0.000441047
54,654.464,0.27844,0.3459,0.97984,0.98403,0.98922,0.98624,0.96036,0.30531,0.33992,0.80447,0.000432048,0.000432048,0.000432048
55,665.809,0.27656,0.33975,0.98232,0.98582,0.98575,0.9866,0.96797,0.25131,0.27203,0.74558,0.000423049,0.000423049,0.000423049
56,677.221,0.28021,0.32638,0.98249,0.98854,0.99005,0.98673,0.96853,0.2472,0.26994,0.74213,0.000414049,0.000414049,0.000414049
57,688.853,0.2789,0.32637,0.98449,0.98923,0.99231,0.98642,0.96717,0.25384,0.27103,0.76084,0.00040505,0.00040505,0.00040505
58,701.657,0.27048,0.32048,0.97439,0.94916,0.97317,0.98577,0.95583,0.28067,0.3421,0.78743,0.000396051,0.000396051,0.000396051
59,716.623,0.268,0.32525,0.9667,0.98688,0.99336,0.98731,0.96689,0.26916,0.2943,0.76459,0.000387052,0.000387052,0.000387052
60,731.285,0.27168,0.31613,0.9824,0.98682,0.98817,0.9881,0.96384,0.2741,0.27839,0.77117,0.000378053,0.000378053,0.000378053
