epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2814.27,0.2898,0.30009,0.87825,0.93665,0.95284,0.9823,0.95829,0.22435,0.25603,0.82281,0.000396265,0.000396265,0.000396265
43,2891.59,0.29124,0.30355,0.87598,0.94954,0.94359,0.98205,0.95652,0.22756,0.24816,0.82351,0.000389661,0.000389661,0.000389661
44,2967.94,0.2867,0.29505,0.87646,0.94577,0.95307,0.98227,0.95831,0.22036,0.24822,0.8195,0.000383058,0.000383058,0.000383058
45,3032.32,0.28603,0.29716,0.87705,0.95835,0.94669,0.98243,0.96069,0.21501,0.23748,0.82053,0.000376455,0.000376455,0.000376455
46,3091.11,0.28301,0.29349,0.87523,0.95415,0.94373,0.98211,0.96089,0.21994,0.24533,0.82203,0.000369851,0.000369851,0.000369851
47,3149.93,0.28324,0.29795,0.87727,0.95706,0.9335,0.97936,0.95933,0.21858,0.25065,0.82081,0.000363248,0.000363248,0.000363248
48,3217.03,0.27606,0.2897,0.8705,0.9568,0.94821,0.98061,0.95995,0.22362,0.24049,0.8232,0.000356645,0.000356645,0.000356645
49,3294.5,0.27943,0.29314,0.87232,0.95183,0.94801,0.98027,0.95827,0.2127,0.23942,0.81869,0.000350042,0.000350042,0.000350042
50,3370.76,0.27708,0.29025,0.87269,0.95082,0.95274,0.98179,0.96164,0.21557,0.2371,0.82083,0.000343438,0.000343438,0.000343438
51,71.7242,0.27563,0.2829,0.87484,0.94854,0.95377,0.98195,0.96074,0.21187,0.2322,0.81531,0.000336835,0.000336835,0.000336835
52,135.673,0.27967,0.28615,0.87516,0.96569,0.93399,0.98181,0.96065,0.21371,0.23367,0.82033,0.000330232,0.000330232,0.000330232
53,201.886,0.27705,0.28132,0.87395,0.95621,0.9523,0.98291,0.95942,0.21674,0.22918,0.82058,0.000323628,0.000323628,0.000323628
54,270.482,0.27169,0.28194,0.87106,0.97354,0.92946,0.98165,0.96088,0.21094,0.2374,0.81925,0.000317025,0.000317025,0.000317025
55,338.039,0.27372,0.28005,0.87429,0.95433,0.93649,0.98181,0.96169,0.21199,0.24372,0.81716,0.000310422,0.000310422,0.000310422
56,401.524,0.27139,0.27579,0.87259,0.94915,0.95662,0.98269,0.96305,0.2053,0.2263,0.81653,0.000303818,0.000303818,0.000303818
57,465.057,0.26914,0.27329,0.87196,0.95505,0.95314,0.98219,0.96249,0.20478,0.22421,0.81832,0.000297215,0.000297215,0.000297215
58,529.159,0.26298,0.27369,0.8703,0.95229,0.95484,0.98318,0.96304,0.20767,0.22467,0.81994,0.000290612,0.000290612,0.000290612
59,593.233,0.26235,0.26802,0.87083,0.94355,0.95956,0.98375,0.96369,0.20292,0.22289,0.81686,0.000284009,0.000284009,0.000284009
60,658.223,0.26024,0.27151,0.86736,0.96085,0.94474,0.98256,0.96294,0.20163,0.22646,0.81443,0.000277405,0.000277405,0.000277405
61,724.113,0.26269,0.27113,0.87016,0.96127,0.95242,0.98314,0.96372,0.20154,0.21725,0.81675,0.000270802,0.000270802,0.000270802
62,789.602,0.2588,0.26871,0.86699,0.96412,0.94758,0.98304,0.96391,0.19792,0.22144,0.81656,0.000264199,0.000264199,0.000264199
63,855.178,0.26126,0.26464,0.86989,0.95244,0.95822,0.98389,0.96374,0.20157,0.21395,0.81682,0.000257595,0.000257595,0.000257595
64,920.198,0.25383,0.26428,0.86869,0.94772,0.95654,0.98336,0.96541,0.19499,0.21736,0.81226,0.000250992,0.000250992,0.000250992
65,984.638,0.25089,0.26131,0.86499,0.95178,0.96009,0.98312,0.96443,0.19673,0.21253,0.81469,0.000244389,0.000244389,0.000244389
66,1050.32,0.24868,0.25866,0.86155,0.95129,0.96061,0.98272,0.96352,0.19472,0.2131,0.81315,0.000237785,0.000237785,0.000237785
67,1117.21,0.25319,0.25766,0.86714,0.95717,0.94745,0.98334,0.9645,0.19393,0.21723,0.81321,0.000231182,0.000231182,0.000231182
68,1185.91,0.25329,0.25778,0.86625,0.95752,0.95434,0.98333,0.9648,0.1935,0.21231,0.81427,0.000224579,0.000224579,0.000224579
69,1250.37,0.24723,0.2553,0.86185,0.96098,0.94801,0.98307,0.96446,0.19292,0.20875,0.81406,0.000217976,0.000217976,0.000217976
70,1321.8,0.24772,0.25669,0.86304,0.95354,0.95306,0.98201,0.96368,0.19176,0.21498,0.81404,0.000211372,0.000211372,0.000211372
71,1390.67,0.24444,0.24821,0.86432,0.95886,0.9533,0.98285,0.96557,0.19406,0.21573,0.81632,0.000204769,0.000204769,0.000204769
72,1459.29,0.24203,0.24739,0.86342,0.95656,0.95329,0.98293,0.96468,0.19389,0.21401,0.81491,0.000198166,0.000198166,0.000198166
73,1523.14,0.23811,0.24667,0.85992,0.95715,0.9512,0.98256,0.96561,0.18918,0.20723,0.81279,0.000191562,0.000191562,0.000191562
74,1588.93,0.23701,0.24224,0.85832,0.95165,0.95999,0.98291,0.96313,0.19437,0.21103,0.81487,0.000184959,0.000184959,0.000184959
75,1660.18,0.23749,0.24429,0.86162,0.96858,0.93653,0.98325,0.96589,0.18849,0.20686,0.81296,0.000178356,0.000178356,0.000178356
76,1730.08,0.23345,0.23737,0.85756,0.9592,0.94859,0.98272,0.96491,0.19095,0.21042,0.81311,0.000171752,0.000171752,0.000171752
77,1793.23,0.23406,0.24081,0.85795,0.96615,0.94081,0.98354,0.96513,0.18553,0.2051,0.81116,0.000165149,0.000165149,0.000165149
78,1856.25,0.22998,0.23603,0.85811,0.9632,0.94689,0.9833,0.96602,0.18981,0.20555,0.81207,0.000158546,0.000158546,0.000158546
79,1919.8,0.23376,0.23982,0.85986,0.95804,0.95084,0.98329,0.96631,0.18506,0.2027,0.81077,0.000151943,0.000151943,0.000151943
80,1984.88,0.22803,0.23933,0.85999,0.95634,0.9543,0.98289,0.96655,0.187,0.20577,0.81135,0.000145339,0.000145339,0.000145339
81,2046.64,0.22418,0.23631,0.8579,0.95594,0.94697,0.98246,0.96479,0.1828,0.20282,0.81037,0.000138736,0.000138736,0.000138736
82,2108.39,0.22327,0.23095,0.85461,0.94985,0.95733,0.98334,0.96594,0.18364,0.2024,0.81025,0.000132133,0.000132133,0.000132133
83,2169.84,0.23106,0.23681,0.86025,0.95576,0.94796,0.98255,0.96646,0.18197,0.204,0.80886,0.000125529,0.000125529,0.000125529
84,2230.95,0.22484,0.23212,0.85487,0.9579,0.95268,0.98305,0.96742,0.18234,0.20422,0.81019,0.000118926,0.000118926,0.000118926
85,2291.53,0.21885,0.22568,0.8566,0.95792,0.95008,0.98262,0.96723,0.18059,0.20248,0.80997,0.000112323,0.000112323,0.000112323
86,2354.92,0.2202,0.22644,0.85676,0.9657,0.94782,0.98348,0.96719,0.1808,0.20103,0.81001,0.00010572,0.00010572,0.00010572
87,2415.95,0.21852,0.22371,0.85697,0.95998,0.94641,0.98279,0.96615,0.18381,0.20302,0.81203,9.91162e-05,9.91162e-05,9.91162e-05
88,2476.23,0.21858,0.22024,0.85748,0.95547,0.95365,0.98328,0.96722,0.18161,0.198,0.81034,9.25129e-05,9.25129e-05,9.25129e-05
89,2537.2,0.21604,0.22563,0.85658,0.9648,0.94389,0.98321,0.96806,0.18033,0.19885,0.8093,8.59096e-05,8.59096e-05,8.59096e-05
90,2597.35,0.21368,0.22077,0.8559,0.95752,0.95288,0.98358,0.96708,0.18018,0.19839,0.80788,7.93063e-05,7.93063e-05,7.93063e-05
