epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08022,1.13168,3.56942,1.54529,0.00756,0.70556,0.12585,0.08994,1.16318,3.41,1.55298,0.00014544,0.00014544,0.00014544
2,12.9696,0.88484,3.23259,1.38198,0.00719,0.73333,0.15615,0.12099,1.27229,3.39347,1.66126,0.00029799,0.00029799,0.00029799
3,17.4509,0.85369,2.95259,1.35927,0.00918,0.71389,0.23627,0.20253,1.24194,3.27551,1.5914,0.000448501,0.000448501,0.000448501
4,22.435,0.91371,2.62073,1.38725,0.41245,0.20417,0.25095,0.20291,1.27856,3.05145,1.64497,0.000596971,0.000596971,0.000596971
5,26.8745,0.8919,2.34971,1.34848,0.4731,0.24722,0.20772,0.14351,1.27641,3.10799,1.62083,0.000743402,0.000743402,0.000743402
6,31.5745,0.89904,2.16555,1.36587,0.19481,0.35417,0.29914,0.25116,1.31278,3.01898,1.81538,0.000879003,0.000879003,0.000879003
7,36.2346,0.88051,1.98199,1.3188,0.49026,0.3375,0.33465,0.25052,1.15476,3.91569,1.65573,0.000873004,0.000873004,0.000873004
8,40.6395,0.83705,1.8011,1.31232,0.60566,0.40774,0.49047,0.36646,1.27738,2.65131,1.84547,0.000867004,0.000867004,0.000867004
9,45.0319,0.86554,1.75158,1.32633,0.56298,0.33433,0.38699,0.30059,1.20351,2.9728,1.57717,0.000861005,0.000861005,0.000861005
10,49.4239,0.80722,1.6596,1.28317,0.25335,0.43056,0.3735,0.24128,1.40081,2.86133,1.83378,0.000855005,0.000855005,0.000855005
11,53.7752,0.80692,1.55255,1.28602,0.68236,0.44643,0.53895,0.40506,1.18584,2.24761,1.57258,0.000849006,0.000849006,0.000849006
12,58.2921,0.78907,1.50291,1.28232,0.39055,0.60504,0.59001,0.48298,1.12936,2.29529,1.58054,0.000843007,0.000843007,0.000843007
13,62.7203,0.8049,1.47392,1.30611,0.45827,0.58561,0.5124,0.40965,1.1546,2.11993,1.57635,0.000837007,0.000837007,0.000837007
14,67.1382,0.769,1.38336,1.26501,0.6606,0.50173,0.61312,0.4953,1.20023,2.08666,1.65361,0.000831008,0.000831008,0.000831008
15,71.7676,0.77749,1.43255,1.26852,0.54313,0.44478,0.52686,0.40435,1.34712,2.27909,1.66855,0.000825008,0.000825008,0.000825008
16,76.4696,0.77365,1.32091,1.25895,0.36261,0.35716,0.37669,0.28624,1.33105,2.51969,1.64662,0.000819009,0.000819009,0.000819009
17,80.7298,0.72783,1.26908,1.21894,0.62879,0.34722,0.44075,0.3465,1.44985,2.69248,1.80829,0.00081301,0.00081301,0.00081301
18,84.8777,0.72799,1.2664,1.20437,0.47688,0.41368,0.48533,0.39368,1.16174,2.29095,1.58543,0.00080701,0.00080701,0.00080701
19,89.2445,0.72409,1.24908,1.23453,0.47882,0.57299,0.57201,0.47706,1.12116,2.06671,1.58914,0.000801011,0.000801011,0.000801011
20,93.6951,0.73427,1.26992,1.23715,0.72911,0.50457,0.61835,0.49115,1.11156,2.06353,1.61963,0.000795011,0.000795011,0.000795011
21,98.4042,0.69123,1.18841,1.19845,0.95376,0.41797,0.63393,0.51952,1.09618,2.0361,1.57295,0.000789012,0.000789012,0.000789012
22,102.676,0.6695,1.15474,1.18227,0.62642,0.4162,0.47149,0.4036,1.01988,2.60495,1.45513,0.000783013,0.000783013,0.000783013
23,106.807,0.67101,1.13367,1.19396,0.74001,0.43183,0.57177,0.48044,1.15445,2.41143,1.62711,0.000777013,0.000777013,0.000777013
24,111.191,0.70453,1.13193,1.20509,0.56689,0.54219,0.5469,0.47192,1.16499,2.19313,1.5555,0.000771014,0.000771014,0.000771014
25,115.821,0.65013,1.07418,1.17614,0.86137,0.39278,0.63356,0.47223,1.23403,2.29956,1.61324,0.000765014,0.000765014,0.000765014
26,120.181,0.69736,1.07726,1.2103,0.79402,0.40675,0.59818,0.46763,1.22641,2.27228,1.61342,0.000759015,0.000759015,0.000759015
27,124.363,0.67171,1.03721,1.18079,0.43664,0.52356,0.55659,0.4411,1.10469,2.38874,1.4753,0.000753016,0.000753016,0.000753016
28,128.848,0.6852,1.05049,1.18888,0.68749,0.44661,0.52843,0.38607,1.18173,2.62471,1.61304,0.000747016,0.000747016,0.000747016
29,133.368,0.63961,1.02572,1.16462,0.88806,0.37625,0.61398,0.50659,1.14245,2.25535,1.58608,0.000741017,0.000741017,0.000741017
30,137.846,0.61518,0.94215,1.14256,0.83688,0.51584,0.63296,0.52554,1.18336,2.24044,1.61788,0.000735017,0.000735017,0.000735017
31,142.252,0.61961,0.89862,1.15438,0.74614,0.56144,0.67193,0.5214,1.18347,1.93749,1.57605,0.000729018,0.000729018,0.000729018
32,146.784,0.61556,0.95846,1.14274,0.65447,0.53921,0.64363,0.53992,1.0504,2.21323,1.45709,0.000723019,0.000723019,0.000723019
33,151.044,0.62871,0.96986,1.17046,0.73069,0.57776,0.65404,0.52486,1.18361,2.02967,1.55479,0.000717019,0.000717019,0.000717019
34,155.427,0.62051,0.931,1.14123,0.62682,0.5557,0.63026,0.46686,1.22421,2.18656,1.61954,0.00071102,0.00071102,0.00071102
35,159.841,0.61868,0.94679,1.14275,0.71252,0.54836,0.71785,0.53749,1.2031,1.82816,1.55775,0.00070502,0.00070502,0.00070502
36,164.06,0.6408,0.93373,1.16033,0.72662,0.51885,0.67212,0.52401,1.12202,2.10455,1.52575,0.000699021,0.000699021,0.000699021
37,168.475,0.59182,0.87968,1.13813,0.78597,0.45652,0.62174,0.53458,1.2236,2.16773,1.56997,0.000693022,0.000693022,0.000693022
38,172.09,0.57562,0.82842,1.11873,0.53649,0.70897,0.69978,0.57708,1.09731,2.0027,1.52759,0.000687022,0.000687022,0.000687022
39,175.597,0.56927,0.81439,1.11955,0.75843,0.5792,0.76028,0.62853,1.02374,1.83907,1.43899,0.000681023,0.000681023,0.000681023
40,179.235,0.57431,0.83311,1.11544,0.87452,0.52267,0.73804,0.57544,1.18001,1.92927,1.61967,0.000675023,0.000675023,0.000675023
41,182.724,0.55112,0.79669,1.10197,0.88635,0.52863,0.68373,0.5585,1.08647,2.05667,1.53067,0.000669024,0.000669024,0.000669024
42,186.357,0.57572,0.81512,1.12447,0.91194,0.55798,0.72158,0.60323,1.07369,1.70901,1.50059,0.000663025,0.000663025,0.000663025
43,189.984,0.58836,0.82893,1.11233,0.84005,0.57725,0.71316,0.57538,1.1101,1.99241,1.52283,0.000657025,0.000657025,0.000657025
44,193.57,0.54637,0.74305,1.0949,0.56766,0.63193,0.68343,0.55293,1.0599,2.35915,1.49177,0.000651026,0.000651026,0.000651026
45,197.067,0.5548,0.7917,1.08741,0.78473,0.56396,0.70128,0.56593,1.04116,2.1716,1.48377,0.000645026,0.000645026,0.000645026
46,200.574,0.5348,0.76347,1.09887,0.62614,0.57577,0.64687,0.5177,1.12049,2.28226,1.53565,0.000639027,0.000639027,0.000639027
47,204.509,0.52172,0.76526,1.0826,0.65307,0.58822,0.75338,0.59396,1.04865,1.84913,1.41979,0.000633028,0.000633028,0.000633028
48,208.958,0.53673,0.74724,1.0915,0.55695,0.659,0.63404,0.46606,1.11011,2.19767,1.48801,0.000627028,0.000627028,0.000627028
49,213.547,0.55147,0.76393,1.07367,0.62841,0.64667,0.62801,0.46114,1.06936,2.32058,1.48774,0.000621029,0.000621029,0.000621029
50,218.209,0.5213,0.71376,1.06878,0.66748,0.60988,0.67434,0.5384,1.00626,2.281,1.41152,0.000615029,0.000615029,0.000615029
51,222.706,0.5185,0.69879,1.0815,0.56818,0.61838,0.6422,0.51759,1.04423,2.31827,1.42183,0.00060903,0.00060903,0.00060903
52,227.379,0.50929,0.69692,1.06446,0.50936,0.54226,0.5711,0.47932,1.02457,2.50135,1.42053,0.000603031,0.000603031,0.000603031
53,231.976,0.51597,0.71268,1.07614,0.62282,0.4725,0.57069,0.4762,1.02211,2.71014,1.4051,0.000597031,0.000597031,0.000597031
54,236.202,0.54153,0.72301,1.10427,0.65559,0.58062,0.60977,0.49199,1.04809,2.48413,1.44155,0.000591032,0.000591032,0.000591032
55,240.257,0.53816,0.70813,1.0847,0.69835,0.6223,0.63468,0.52763,1.05704,2.33491,1.48225,0.000585032,0.000585032,0.000585032
56,243.864,0.49604,0.66448,1.06013,0.85051,0.49444,0.59849,0.51079,1.08849,2.50763,1.434,0.000579033,0.000579033,0.000579033
57,248.396,0.50775,0.69237,1.08077,0.78926,0.4724,0.6386,0.54436,1.08951,2.64243,1.42876,0.000573034,0.000573034,0.000573034
58,253.163,0.50501,0.6367,1.07267,0.8985,0.48318,0.64291,0.54233,1.08208,2.36969,1.45661,0.000567034,0.000567034,0.000567034
59,258.009,0.4925,0.62886,1.0683,0.58015,0.5942,0.61685,0.51853,1.10223,2.33994,1.44715,0.000561035,0.000561035,0.000561035
60,262.869,0.47526,0.61836,1.07172,0.84701,0.43362,0.62256,0.51476,1.06026,2.24757,1.44138,0.000555035,0.000555035,0.000555035
61,267.734,0.48257,0.66721,1.05005,0.65223,0.59419,0.68032,0.53643,1.09884,2.02111,1.50566,0.000549036,0.000549036,0.000549036
62,272.225,0.48752,0.61848,1.04148,0.63662,0.52875,0.58912,0.47252,1.07525,2.48732,1.4961,0.000543037,0.000543037,0.000543037
63,276.766,0.4664,0.63329,1.03511,0.71744,0.54193,0.66308,0.55192,1.03956,2.38938,1.44588,0.000537037,0.000537037,0.000537037
64,281.304,0.45035,0.62983,1.03891,0.87247,0.57857,0.65642,0.55008,1.10358,2.31182,1.54517,0.000531038,0.000531038,0.000531038
65,285.728,0.45197,0.60618,1.03788,0.84109,0.50734,0.65,0.53613,1.07625,2.22542,1.52004,0.000525038,0.000525038,0.000525038
66,290.05,0.472,0.6166,1.04458,0.84622,0.49396,0.71108,0.57046,1.10734,2.10611,1.55426,0.000519039,0.000519039,0.000519039
67,294.501,0.45138,0.61449,1.03945,0.67825,0.67199,0.69866,0.57521,1.09015,2.19055,1.50285,0.00051304,0.00051304,0.00051304
68,298.992,0.43809,0.58434,1.02681,0.85359,0.53013,0.63609,0.51934,1.05751,2.27252,1.48721,0.00050704,0.00050704,0.00050704
69,303.571,0.49709,0.62284,1.06699,0.78488,0.53696,0.6148,0.5153,1.00099,2.36291,1.45674,0.000501041,0.000501041,0.000501041
